// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\David\Desktop\2022\2022-02-07 - StringWriter\vs\StringWriterBench\StringWriterBench\bin\Release\netcoreapp3.1\d3508ef7-a2f6-4436-8c61-c8915d40ac36
// command took 0.97s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\David\Desktop\2022\2022-02-07 - StringWriter\vs\StringWriterBench\StringWriterBench\bin\Release\netcoreapp3.1\d3508ef7-a2f6-4436-8c61-c8915d40ac36
// command took 1.58s and exited with 0
// ***** Done, took 00:00:02 (2.62 sec)   *****
// Found 3 benchmarks:
//   Program.UseStringBuilder: DefaultJob
//   Program.UseStringWriter: DefaultJob
//   Program.UseMyStringWriter: DefaultJob

// **************************
// Benchmark: Program.UseStringBuilder: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d3508ef7-a2f6-4436-8c61-c8915d40ac36.dll" --benchmarkName "StringWriterBench.Program.UseStringBuilder" --job "Default" --benchmarkId 0 in C:\Users\David\Desktop\2022\2022-02-07 - StringWriter\vs\StringWriterBench\StringWriterBench\bin\Release\netcoreapp3.1\d3508ef7-a2f6-4436-8c61-c8915d40ac36\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.22 (CoreCLR 4.700.21.56803, CoreFX 4.700.21.57101), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 176600.00 ns, 176.6000 us/op
WorkloadJitting  1: 1 op, 63156000.00 ns, 63.1560 ms/op

WorkloadPilot    1: 2 op, 127520600.00 ns, 63.7603 ms/op
WorkloadPilot    2: 3 op, 195145100.00 ns, 65.0484 ms/op
WorkloadPilot    3: 4 op, 287734800.00 ns, 71.9337 ms/op
WorkloadPilot    4: 5 op, 346869100.00 ns, 69.3738 ms/op
WorkloadPilot    5: 6 op, 422692600.00 ns, 70.4488 ms/op
WorkloadPilot    6: 7 op, 488607900.00 ns, 69.8011 ms/op
WorkloadPilot    7: 8 op, 567765100.00 ns, 70.9706 ms/op

WorkloadWarmup   1: 8 op, 571288300.00 ns, 71.4110 ms/op
WorkloadWarmup   2: 8 op, 569697600.00 ns, 71.2122 ms/op
WorkloadWarmup   3: 8 op, 571293300.00 ns, 71.4117 ms/op
WorkloadWarmup   4: 8 op, 572714100.00 ns, 71.5893 ms/op
WorkloadWarmup   5: 8 op, 584391700.00 ns, 73.0490 ms/op
WorkloadWarmup   6: 8 op, 572507600.00 ns, 71.5635 ms/op
WorkloadWarmup   7: 8 op, 583292700.00 ns, 72.9116 ms/op
WorkloadWarmup   8: 8 op, 578358000.00 ns, 72.2947 ms/op

// BeforeActualRun
WorkloadActual   1: 8 op, 580514900.00 ns, 72.5644 ms/op
WorkloadActual   2: 8 op, 579256700.00 ns, 72.4071 ms/op
WorkloadActual   3: 8 op, 577393200.00 ns, 72.1741 ms/op
WorkloadActual   4: 8 op, 568793100.00 ns, 71.0991 ms/op
WorkloadActual   5: 8 op, 574414400.00 ns, 71.8018 ms/op
WorkloadActual   6: 8 op, 578591900.00 ns, 72.3240 ms/op
WorkloadActual   7: 8 op, 573655900.00 ns, 71.7070 ms/op
WorkloadActual   8: 8 op, 578245900.00 ns, 72.2807 ms/op
WorkloadActual   9: 8 op, 569984100.00 ns, 71.2480 ms/op
WorkloadActual  10: 8 op, 595232500.00 ns, 74.4041 ms/op
WorkloadActual  11: 8 op, 582860200.00 ns, 72.8575 ms/op
WorkloadActual  12: 8 op, 594052000.00 ns, 74.2565 ms/op
WorkloadActual  13: 8 op, 575462300.00 ns, 71.9328 ms/op
WorkloadActual  14: 8 op, 589504300.00 ns, 73.6880 ms/op
WorkloadActual  15: 8 op, 587407400.00 ns, 73.4259 ms/op

// AfterActualRun
WorkloadResult   1: 8 op, 580514900.00 ns, 72.5644 ms/op
WorkloadResult   2: 8 op, 579256700.00 ns, 72.4071 ms/op
WorkloadResult   3: 8 op, 577393200.00 ns, 72.1741 ms/op
WorkloadResult   4: 8 op, 568793100.00 ns, 71.0991 ms/op
WorkloadResult   5: 8 op, 574414400.00 ns, 71.8018 ms/op
WorkloadResult   6: 8 op, 578591900.00 ns, 72.3240 ms/op
WorkloadResult   7: 8 op, 573655900.00 ns, 71.7070 ms/op
WorkloadResult   8: 8 op, 578245900.00 ns, 72.2807 ms/op
WorkloadResult   9: 8 op, 569984100.00 ns, 71.2480 ms/op
